model,prompt,balanced_mae,mae_bin_0-20,n_bin_0-20,mae_bin_0-20_ci_lo,mae_bin_0-20_ci_hi,mae_bin_20-40,n_bin_20-40,mae_bin_20-40_ci_lo,mae_bin_20-40_ci_hi,mae_bin_40-60,n_bin_40-60,mae_bin_40-60_ci_lo,mae_bin_40-60_ci_hi,mae_bin_60-80,n_bin_60-80,mae_bin_60-80_ci_lo,mae_bin_60-80_ci_hi,mae_bin_80-100,n_bin_80-100,mae_bin_80-100_ci_lo,mae_bin_80-100_ci_hi,overall_mae,rmse,mean_bias,median_bias,p_within_5,p_within_10,exact_zero_rate,spearman_rho,spearman_p,n_images,overall_mae_ci_lo,overall_mae_ci_hi,overall_mae_ci_method,balanced_mae_ci_lo,balanced_mae_ci_hi,balanced_mae_ci_method,balanced_mae_ci_lo_stratified,balanced_mae_ci_hi_stratified,balanced_mae_ci_method_stratified,balanced_mae_ci_empty_bin_violations_stratified,mean_bias_bin_0-20,mean_bias_bin_0-20_ci_lo,mean_bias_bin_0-20_ci_hi,mean_bias_bin_0-20_ci_method,mean_bias_bin_20-40,mean_bias_bin_20-40_ci_lo,mean_bias_bin_20-40_ci_hi,mean_bias_bin_20-40_ci_method,mean_bias_bin_40-60,mean_bias_bin_40-60_ci_lo,mean_bias_bin_40-60_ci_hi,mean_bias_bin_40-60_ci_method,mean_bias_bin_60-80,mean_bias_bin_60-80_ci_lo,mean_bias_bin_60-80_ci_hi,mean_bias_bin_60-80_ci_method,mean_bias_bin_80-100,mean_bias_bin_80-100_ci_lo,mean_bias_bin_80-100_ci_hi,mean_bias_bin_80-100_ci_method
Llama-4-Maverick,Short,11.209051674497458,4.586655948553055,933,4.108930281272714,5.125705625478739,11.935185185185185,108,10.101851851851851,14.212962962962964,13.630434782608695,46,11.195652173913043,16.347826086956523,11.526315789473685,38,9.394736842105264,14.447368421052632,14.366666666666667,30,11.433333333333334,17.966666666666665,6.116320346320347,10.837618766107273,3.0917316017316017,0.0,0.6909090909090909,0.8181818181818182,0.3307359307359307,0.8265896292940761,4.133066498016389e-290,1155,5.617179974787063,6.658550864720788,BCa,10.191549773501494,12.35640344341384,BCa,10.200999015378608,12.305040669018299,BCa,0,3.7534297963558414,3.2410622524590407,4.333995349557028,BCa,5.694444444444445,2.9098663178893935,8.540088670023561,BCa,-1.065217391304348,-5.891304347826087,3.5402375523798306,BCa,-2.1578947368421053,-6.879117720178132,1.9210526315789473,BCa,-13.833333333333334,-17.633333333333333,-10.466666666666667,BCa
Llama-4-Maverick,Point-Hint,11.375880070767348,5.176152197213291,933,4.675377913913562,5.735166248622488,9.930555555555555,108,8.268518518518519,11.89299364944983,12.41304347826087,46,10.326086956521738,14.73913043478261,13.526315789473685,38,10.631578947368421,17.228212390948677,15.833333333333334,30,12.933333333333334,19.766666666666666,6.460476190476191,11.022904037499076,3.1328571428571426,0.0,0.6502164502164502,0.8025974025974026,0.3489177489177489,0.8190665305346031,1.65877785333687e-280,1155,5.984706820257325,7.009037413818646,BCa,10.346748538211468,12.577196792583626,BCa,10.326457163362962,12.535920694142359,BCa,0,4.2871918542336545,3.761875389151621,4.889858829526211,BCa,4.949074074074074,2.6666666666666665,7.534087469957041,BCa,-3.6739130434782608,-7.673913043478261,0.5217391304347826,BCa,-7.157894736842105,-12.447368421052632,-2.473684210526316,BCa,-15.833333333333334,-19.8,-12.966666666666667,BCa
Qwen-2.5,Grid-Overlay,11.749014966389051,6.346248660235799,933,5.8551467392241054,6.937620578778135,9.49074074074074,108,8.074074074074074,11.351851851851851,11.478260869565217,46,9.478260869565217,13.506487683068965,15.763157894736842,38,11.789473684210526,20.446275434601038,15.666666666666666,30,13.1,18.266666666666666,7.396580086580086,11.54026819633279,4.061428571428571,3.0,0.6683982683982684,0.7567099567099567,0.12467532467532468,0.7605923389318955,1.5307019721046477e-218,1155,6.8949014008032306,7.926552237340933,BCa,10.644975813129436,12.95018776805107,BCa,10.678728151636632,12.88185971494152,BCa,0,5.548713826366559,5.0048333089513255,6.140826955150339,BCa,6.712962962962963,4.7407407407407405,8.907407407407407,BCa,-4.6521739130434785,-8.021739130434783,-0.9130434782608695,BCa,-13.868421052631579,-19.026315789473685,-9.078947368421053,BCa,-15.666666666666666,-18.366666666666667,-13.233333333333333,BCa
Llama-4-Maverick,Grid-Overlay,11.815106900443086,4.736495176848874,933,4.288258776556505,5.276126660537411,8.078703703703704,108,6.833333333333333,9.601851851851851,13.021739130434783,46,10.459540691812462,15.58695652173913,16.105263157894736,38,12.473684210526315,20.105263157894736,17.133333333333333,30,13.833333333333334,21.133333333333333,6.0750216450216445,10.497837233453689,2.156233766233766,0.0,0.6857142857142857,0.8034632034632034,0.3463203463203463,0.8260992702197525,1.804224904895854e-289,1155,5.599185089382504,6.60268195710983,BCa,10.652303714487774,13.09442366020787,BCa,10.669603430040699,13.083629351485024,BCa,0,3.808092175777063,3.30708435202172,4.360584219958683,BCa,2.3194444444444446,0.37037037037037035,4.4247941893800595,BCa,-6.804347826086956,-10.73913043478261,-2.652173913043478,BCa,-12.789473684210526,-17.789473684210527,-7.894736842105263,BCa,-17.133333333333333,-21.333333333333332,-13.833333333333334,BCa
Qwen-2.5,Short,12.04652682703232,5.7122722400857455,933,5.249824570431323,6.260501287259163,8.712962962962964,108,7.407407407407407,10.36111111111111,12.956521739130435,46,10.543478260869565,15.663670354623402,19.18421052631579,38,15.0,23.94736842105263,13.666666666666666,30,10.666666666666666,17.3,6.9312121212121225,11.079650528972286,2.948008658008658,3.0,0.7064935064935065,0.787012987012987,0.13506493506493505,0.7547304430987166,2.5687377015844387e-213,1155,6.456672867724123,7.474658563197528,BCa,10.815634216918196,13.345391976644036,BCa,10.812737920364572,13.370132100750066,BCa,0,4.7169882100750264,4.1980525569212706,5.286824876369106,BCa,3.4722222222222223,1.3425925925925926,5.583333333333333,BCa,-7.043478260869565,-11.08695652173913,-3.0434782608695654,BCa,-16.763157894736842,-22.18421052631579,-11.473684210526315,BCa,-13.666666666666666,-17.266666666666666,-10.633333333333333,BCa
Llama-4-Scout,Short,12.679774494486834,4.584405144694534,933,4.163451232583065,5.081354710432196,10.277777777777779,108,8.37037037037037,12.768518518518519,17.217391304347824,46,14.58695652173913,20.2206662868733,20.55263157894737,38,16.394736842105264,24.63157894736842,10.766666666666667,30,6.333333333333333,19.78184226877353,6.305844155844156,11.184956172857566,2.6778787878787877,0.0,0.6571428571428571,0.8329004329004329,0.35844155844155845,0.8313627382890623,1.9015859379261727e-296,1155,5.807473316866086,6.8769673189444,BCa,11.288833848194065,14.705537303079312,BCa,11.300769979043533,14.687724502289646,BCa,0,3.685905680600214,3.240210739863012,4.227784491886509,BCa,3.3333333333333335,0.7142205277463031,6.361111111111111,BCa,-5.956521739130435,-11.108695652173912,-0.17164660079873537,BCa,-4.657894736842105,-12.630793739553782,2.789473684210526,BCa,-8.5,-17.966666666666665,-3.6666666666666665,BCa
Qwen-2.5,Point-Hint,13.368864097971136,4.659431939978564,933,4.2639666915042245,5.114611236633857,7.592592592592593,108,6.4907407407407405,9.009272927734822,12.478260869565217,46,10.217391304347826,14.91304347826087,21.94736842105263,38,17.5,26.63157894736842,20.166666666666668,30,16.566666666666666,24.0,6.216666666666667,10.31432817981209,1.415974025974026,1.0,0.7264069264069264,0.8147186147186147,0.15497835497835497,0.7729334524041667,4.742633360141906e-230,1155,5.754040377329724,6.691858803760027,BCa,12.080088635364714,14.682156954272239,BCa,12.095888710261534,14.679016070882877,BCa,0,3.608199356913183,3.1707395498392286,4.08257789688025,BCa,1.1111111111111112,-0.7062658015049477,3.0185185185185186,BCa,-9.434782608695652,-12.630434782608695,-5.956521739130435,BCa,-21.36842105263158,-26.289473684210527,-16.56279290252209,BCa,-20.166666666666668,-24.1,-16.6,BCa
Llama-4-Scout,Grid-Overlay,13.40693654893093,4.756752411575563,933,4.301382904770915,5.355871343109038,13.277777777777779,108,11.25462962962963,15.580184904262406,16.782608695652176,46,14.152173913043478,19.67391304347826,15.18421052631579,38,11.605263157894736,19.763157894736842,17.033333333333335,30,13.033333333333333,23.133333333333333,6.694415584415584,11.814421721187228,2.5458441558441556,1.3,0.6545454545454545,0.8095238095238095,0.22770562770562772,0.818637564221067,5.673562417865754e-280,1155,6.169522318808654,7.307496618150132,BCa,12.06134391100978,15.042966950409777,BCa,12.099560546671432,14.997543102168613,BCa,0,3.87508038585209,3.383097596244648,4.478016978946156,BCa,3.4166666666666665,0.4027777777777778,6.862388780508,BCa,-4.260869565217392,-9.717391304347826,1.2391304347826086,BCa,-9.5,-15.196281665520747,-4.342105263157895,BCa,-16.233333333333334,-22.733333333333334,-11.833333333333334,BCa
Mistral-Small-3.2,Grid-Overlay,13.64709670474554,6.00069667738478,933,5.579724178011674,6.439528373353186,7.953703703703703,108,6.851851851851852,9.38888888888889,13.956521739130435,46,11.674971914553485,16.41304347826087,18.657894736842106,38,14.105263157894736,23.86842105263158,21.666666666666668,30,17.966666666666665,26.285054345015183,7.3235064935064935,11.018192256720727,2.7350216450216447,2.0,0.606926406926407,0.7480519480519481,0.025974025974025976,0.6686603367785218,1.5066469807579622e-150,1155,6.87737205395787,7.82330948392784,BCa,12.314367606766238,15.139213180825461,BCa,12.336558752653717,15.127277605541313,BCa,0,5.139281886387995,4.676634512325831,5.630429940821501,BCa,-0.046296296296296294,-1.9907407407407407,1.9074074074074074,BCa,-7.260869565217392,-11.346255498537973,-3.0,BCa,-17.026315789473685,-22.81578947368421,-11.801549348675556,BCa,-21.666666666666668,-26.633333333333333,-18.1,BCa
Gemma-3-12B,Short,13.944539776519292,8.190836012861736,933,7.675175418299788,8.78124573319514,13.731481481481481,108,11.678681457581314,15.871599415372085,13.956521739130435,46,11.5,16.41304347826087,14.710526315789474,38,11.421052631578947,18.18421052631579,19.133333333333333,30,14.2,25.366666666666667,9.437272727272727,13.334898636473456,6.502121212121212,5.0,0.5393939393939394,0.6519480519480519,0.01471861471861472,0.7525167470859623,2.21072767871666e-211,1155,8.920448106210893,9.996410646891656,BCa,12.540618079336411,15.504012208754004,BCa,12.601895530782535,15.54170620021093,BCa,0,7.8627545551982845,7.322122747729755,8.444212218649518,BCa,8.194444444444445,5.25,11.222631202383816,BCa,-0.08695652173913043,-4.804347826086956,4.760869565217392,BCa,-4.131578947368421,-9.736842105263158,1.5526315789473684,BCa,-18.333333333333332,-24.8,-13.0,BCa
