model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Gemma-3-12B,0-20,8.231350482315113,933,7.784202319927361,8.71121225534602,7.823499464094319,7.36215723085365,8.337413713816298,BCa,model,
Gemma-3-12B,20-40,11.962962962962964,108,10.62037037037037,13.55324074074074,3.6527777777777777,1.3481549488961075,6.106481481481482,BCa,model,
Gemma-3-12B,40-60,14.467391304347826,46,12.728260869565217,16.434782608695652,-4.815217391304348,-8.487848375326092,-0.6847826086956522,BCa,model,
Gemma-3-12B,60-80,17.907894736842106,38,14.973684210526315,21.276315789473685,-12.486842105263158,-17.31578947368421,-7.615617082388757,BCa,model,
Gemma-3-12B,80-100,27.816666666666666,30,23.259807403354394,33.1913732369186,-27.45,-33.0,-22.675,BCa,model,
Gemma-3-27B,0-20,9.236682743837086,933,8.8539702610136,9.64730486529425,9.006377277599144,8.604526156137746,9.444877581377188,BCa,model,
Gemma-3-27B,20-40,8.421296296296296,108,7.49537037037037,9.550925925925926,1.9212962962962963,0.28173754720011274,3.6828703703703702,BCa,model,
Gemma-3-27B,40-60,14.978260869565217,46,13.266304347826088,17.00838013146708,-9.48913043478261,-12.875,-5.576266303857358,BCa,model,
Gemma-3-27B,60-80,18.967105263157894,38,14.723684210526315,23.513157894736842,-16.99342105263158,-22.100893885764812,-11.87116877839186,BCa,model,
Gemma-3-27B,80-100,29.333333333333332,30,24.216666666666665,34.69368986087547,-29.333333333333332,-34.55,-24.098410213237884,BCa,model,
Llama-4-Maverick,0-20,4.427947481243301,933,4.046369593171055,4.8931246130720165,2.959941050375134,2.5557527030378324,3.40331842134851,BCa,model,
Llama-4-Maverick,20-40,11.703703703703704,108,10.515485944490587,13.12309059270003,-0.6388888888888888,-2.4775768095169455,1.371728169382173,BCa,model,
Llama-4-Maverick,40-60,17.86413043478261,46,15.554347826086957,20.130434782608695,-10.929347826086957,-14.141304347826088,-7.733695652173913,BCa,model,
Llama-4-Maverick,60-80,19.80263157894737,38,16.99578361571192,22.888157894736842,-14.907894736842104,-19.019736842105264,-10.671052631578947,BCa,model,
Llama-4-Maverick,80-100,26.75,30,22.88141756036205,30.47354330889774,-26.616666666666667,-30.333333333333332,-22.625,BCa,model,
Llama-4-Scout,0-20,4.736789924973205,933,4.375739984186559,5.15979675057324,3.402411575562701,3.0149161019726347,3.843049360926943,BCa,model,
Llama-4-Scout,20-40,15.06199074074074,108,13.607261121003507,16.783872182543256,-0.5005092592592593,-2.824455418923584,1.8780597541989645,BCa,model,
Llama-4-Scout,40-60,20.61413043478261,46,18.11413043478261,23.217391304347824,-11.494565217391305,-15.146739130434783,-7.989130434782608,BCa,model,
Llama-4-Scout,60-80,22.536184210526315,38,19.45394736842105,25.880927129252825,-13.134868421052632,-18.605263157894736,-7.404950947434043,BCa,model,
Llama-4-Scout,80-100,27.141666666666666,30,22.858320091095063,33.2695236222783,-25.9,-32.11666666666667,-21.006663953023644,BCa,model,
Mistral-Small-3.2,0-20,6.00040192926045,933,5.646928994061577,6.413302784403866,5.021382636655948,4.603429809718546,5.480663533186612,BCa,model,
Mistral-Small-3.2,20-40,7.699074074074074,108,6.789351851851852,8.875,-2.013888888888889,-3.747074921845123,-0.2824074074074074,BCa,model,
Mistral-Small-3.2,40-60,15.190217391304348,46,13.097826086956522,17.304347826086957,-11.03804347826087,-14.358695652173912,-7.331521739130435,BCa,model,
