question_id,check,statistic,p_value,detail
Q3,normality,333.20817324336554,4.41331084764186e-73,"D'Agostino-Pearson on per-image mean signed bias; context only, no gating action"
Q3,homoscedasticity,,,"per-bin sd of signed bias: {'0-20': 5.757300267016716, '20-40': 8.435256565967979, '40-60': 9.51421554324799, '60-80': 13.695917590579947, '80-100': 10.474920349950319}"
Q3,rooted_dead_alike_plants_level_counts,,,"counts={0: 766, 2: 295, 1: 94}, any_below_30=False"
Q3,non_rooted_plant_material_level_counts,,,"counts={0: 699, 2: 236, 1: 220}, any_below_30=False"
Q3,obliquity_quartile_linearity,,,"R^2 continuous=0.4939, R^2 quartile-dummy=0.4917, delta=-0.0022; descriptive only, not one of the five cover-gradient tests"
Q3,collinearity,,,"per_column_vif={'bin_20-40': 1.1659792650311533, 'bin_40-60': 1.0806798507948379, 'bin_60-80': 1.0714825617646246, 'bin_80-100': 1.1630691116223932, 'obliquity_z': 1.2207697889535987, 'rooted_1': 1.0845514825783076, 'rooted_2': 1.391681295701937, 'nonrooted_1': 1.117129914380454, 'nonrooted_2': 1.2809730620768565}, block_not_separately_identified={'bin': False, 'rooted_dead_alike_plants': False, 'non_rooted_plant_material': False, 'obliquity': False}"
Q3,rooted_dead_alike_plants_x_bin_association,163.46918198817872,3.0076001996837473e-31,"chi-square association between rooted_dead_alike_plants and reference bin, reported so the within-bin permutation test (which nets the block out from bin) is the number that distinguishes an annotation effect from bin structure showing through the annotation. rooted==2 by-prompt mean absolute error: {'Detailed': 14.5525, 'Grid-Overlay': 11.685, 'Point-Hint': 11.2045, 'Short': 10.5407}"
Q3,non_rooted_plant_material_within_bin_monotonicity,14.148406615165301,,"stratified (within-bin, then combined) Jonckheere-Terpstra test on non_rooted_plant_material levels; descriptive, not one of the six cover-gradient tests; pooled-over-bins z (confounded with bin, not used for any claim) = +12.158 for comparison; per-bin breakdown: [{'bin': '0-20', 'n_images': 933, 'levels_present': [np.int64(0), np.int64(1), np.int64(2)], 'J': 177707.0, 'mean_J': 119533.0, 'var_J': 17054337.50917554, 'z': 14.08677246689121, 'note': ''}, {'bin': '20-40', 'n_images': 108, 'levels_present': [np.int64(0), np.int64(1), np.int64(2)], 'J': 2078.5, 'mean_J': 1892.5, 'var_J': 30780.74676309619, 'z': 1.060164770073367, 'note': ''}, {'bin': '40-60', 'n_images': 46, 'levels_present': [np.int64(0), np.int64(1), np.int64(2)], 'J': 368.5, 'mean_J': 311.5, 'var_J': 2235.465217391304, 'z': 1.2055657389403633, 'note': ''}, {'bin': '60-80', 'n_images': 38, 'levels_present': [np.int64(0), np.int64(1), np.int64(2)], 'J': 214.5, 'mean_J': 160.5, 'var_J': 989.1358463726884, 'z': 1.7169821860498218, 'note': ''}, {'bin': '80-100', 'n_images': 30, 'levels_present': [np.int64(0), np.int64(2)], 'J': 44.0, 'mean_J': 28.0, 'var_J': 144.66666666666666, 'z': 1.330257589136864, 'note': ''}]"
Q3,rooted_level_scope_counts_sum_to_1155,,,"pooled scope and each of the four prompt scopes: the three rooted_dead_alike_plants level counts sum to 1,155 images, confirmed by assertion above."
Q3,rooted_level_ci_method,0.0,,"ci_method is recorded on every row of Q3_rooted_level_error.csv; 0 of 30 intervals (signed + absolute, across all rows) fell back to the plain percentile interval rather than BCa."
Q3,bootstrap_bin_coverage,0.0,,"balanced-MAE headline bootstrap; violation_share=0.0000%, switch_to_stratified=False"
Q3,pairing_complete,,,"n_images=1155, n_images_with_wrong_count=0, expected_per_image=24"
