question_id,axis,configuration,covariate,contrast,estimand,estimate,ci_lo,ci_hi,ci_method,n_images,n_rooted_1,paired_views_of_one_frame,posthoc,family,note
Q3,model,Gemma-3-12B,rooted_dead_alike_plants,rooted_1,bin_adjusted_ols_coefficient,6.194130536671955,4.347842936857459,8.280530573876446,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-12B,rooted_dead_alike_plants,rooted_2,bin_adjusted_ols_coefficient,2.055627658051623,0.8464262657984227,3.365269181555149,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-12B,non_rooted_plant_material,nonrooted_1,bin_adjusted_ols_coefficient,0.9527428838576969,0.05190411658555124,1.8714264076045977,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-12B,non_rooted_plant_material,nonrooted_2,bin_adjusted_ols_coefficient,5.460434159110543,4.131452915988188,6.797642451423724,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-12B,obliquity,obliquity_z,bin_adjusted_ols_coefficient,0.9924363678822898,0.22703121921849706,1.6930864856904417,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-27B,rooted_dead_alike_plants,rooted_1,bin_adjusted_ols_coefficient,4.492229036033935,2.710979325594979,6.42243005212888,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-27B,rooted_dead_alike_plants,rooted_2,bin_adjusted_ols_coefficient,2.216984571250639,1.128398746555853,3.5139739618075425,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-27B,non_rooted_plant_material,nonrooted_1,bin_adjusted_ols_coefficient,0.5192250095475756,-0.3214475645186823,1.3760070944430292,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-27B,non_rooted_plant_material,nonrooted_2,bin_adjusted_ols_coefficient,4.3119721708485494,3.148349849838359,5.523414071158083,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
Q3,model,Gemma-3-27B,obliquity,obliquity_z,bin_adjusted_ols_coefficient,0.2637069316864622,-0.4504635947473906,1.0208831735738126,BCa,1155,94,True,True,"none (descriptive, post-hoc)","Every row is the bin-adjusted OLS coefficient (net of the four bin dummies and the other two covariate blocks), the same estimand Q3_covariate_models.csv reports pooled -- never the raw, bin-unadjusted mean difference between two groups. Every row built from the rooted_1 contrast uses the same 94 images (rooted_dead_alike_plants == 1 is fixed by the annotation, independent of model or prompt); the per-model and per-prompt estimates are paired views of one 1,155-image frame, not independent estimates. No sentence may treat the spread across models or prompts as sampling variation, and no difference between two per-model or per-prompt coefficients is a test."
