question_id,bin,step_isolated,contrast,n,estimate,ci_lo,ci_hi,n_images_improved,n_images_worsened,n_images_unchanged,perspective_correction_share_pct_point,perspective_correction_share_pct_ci_lo,perspective_correction_share_pct_ci_hi,perspective_correction_share_note,pipeline_fact_provenance
Q4,pooled,crop_to_quadrat_corners,masked_gray_minus_base,1155,-1.6426111694866314,-2.410293443266667,-0.9365555301645632,,,,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,pooled,perspective_correction_only,rectified_minus_masked_gray,1155,-0.04364360262990985,-0.48018223613403993,0.3498360360841957,,,,2.5881974273157775,-26.940386446975378,26.617247071409952,"pooled ratio of two contrasts, one of which (the perspective correction) is not distinguishable from zero; 95% bootstrap CI is wide relative to the point estimate — treat as unstable, not precise; not computed per bin because the same instability argument applies with even less data per bin","user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,pooled,crop_and_correction_together,rectified_minus_base,1155,-1.6862547721165413,-2.4565425020421765,-0.9873397114250988,,,,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,0-20,crop_to_quadrat_corners,masked_gray_minus_base,933,0.5360767238299392,0.3523102217910538,0.7152161741948868,382.0,547.0,4.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,0-20,perspective_correction_only,rectified_minus_masked_gray,933,-0.0505484101464809,-0.13642748545890762,0.040478869530193924,476.0,442.0,15.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,0-20,crop_and_correction_together,rectified_minus_base,933,0.48552831368345833,0.30625435939346873,0.6664432892010927,396.0,530.0,7.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,20-40,crop_to_quadrat_corners,masked_gray_minus_base,108,0.20764660493827164,-0.6321120293101162,1.0248464851277181,58.0,49.0,1.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,20-40,perspective_correction_only,rectified_minus_masked_gray,108,0.2973572530864197,-0.12429223366128053,0.757725563452494,49.0,59.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,20-40,crop_and_correction_together,rectified_minus_base,108,0.5050038580246914,-0.23214579453191556,1.2948321348407341,47.0,60.0,1.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,40-60,crop_to_quadrat_corners,masked_gray_minus_base,46,-0.4750905797101444,-1.7693246591789755,0.8786231884057977,28.0,18.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,40-60,perspective_correction_only,rectified_minus_masked_gray,46,0.37764492753623174,-0.4051757700105143,1.0838011639418805,21.0,24.0,1.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,40-60,crop_and_correction_together,rectified_minus_base,46,-0.09744565217391296,-1.4531287657499632,1.5243943904720738,25.0,21.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,60-80,crop_to_quadrat_corners,masked_gray_minus_base,38,-3.3108552631578956,-5.800900029877307,-1.3282761215623922,26.0,12.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,60-80,perspective_correction_only,rectified_minus_masked_gray,38,-0.2996162280701754,-1.291249793789545,0.5369413798961684,19.0,18.0,1.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,60-80,crop_and_correction_together,rectified_minus_base,38,-3.6104714912280707,-6.1562083974431285,-1.6370614035087723,26.0,12.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,80-100,crop_to_quadrat_corners,masked_gray_minus_base,30,-5.1708333333333325,-7.61817883949205,-2.878437625213833,23.0,7.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,80-100,perspective_correction_only,rectified_minus_masked_gray,30,-0.5430555555555558,-2.127777777777778,1.022222222222222,16.0,14.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
Q4,80-100,crop_and_correction_together,rectified_minus_base,30,-5.7138888888888895,-8.175,-3.6388674919746307,25.0,5.0,0.0,,,,,"user-supplied pipeline fact; not derivable from any file in this repository (images absent, limitation 26) — recorded here as context, not as data anything is computed from"
