model,prompt,row_type,estimate,loco_min,loco_max,loco_note,loco_estimate_campaign_a,loco_estimate_campaign_b,loco_estimate_campaign_c,p_clustered_webb,n_distinct_abs_t_star,clustered_method_note,question_id,family
Gemma-3-12B,,headline,0.2922134414068215,0.27605892359195927,0.3110720738229103,,0.27605892359195927,0.3110720738229103,0.29107127190805604,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Detailed,auc_by_model_x_prompt,0.3545139967553761,0.33894082370579415,0.38035019455252916,,0.33894082370579415,0.38035019455252916,0.3520490745736471,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Grid-Overlay,auc_by_model_x_prompt,0.2014767716131679,0.1784073342493988,0.21746309246309248,,0.1784073342493988,0.21746309246309248,0.20688370706995451,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Point-Hint,auc_by_model_x_prompt,0.19952025859857359,0.19581340630674404,0.20603776853776856,,0.19581340630674404,0.20603776853776856,0.20200383833822533,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Short,auc_by_model_x_prompt,0.41334273866016846,0.3910741301059002,0.440437239738251,,0.3910741301059002,0.440437239738251,0.4033484676503972,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Detailed,spearman_confidence_vs_abs_e,0.5518405448037117,0.510962474990103,0.5632588439167019,,0.5632588439167019,0.510962474990103,0.5570723466132697,,,No wild-cluster-bootstrap analogue exists for a rank statistic (Spearman rho); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Grid-Overlay,spearman_confidence_vs_abs_e,0.42712602243038084,0.3760974290995548,0.4560541325918775,,0.4560541325918775,0.3760974290995548,0.42877199566804597,,,No wild-cluster-bootstrap analogue exists for a rank statistic (Spearman rho); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Point-Hint,spearman_confidence_vs_abs_e,0.5788722972402719,0.5583546143746224,0.5840296422084935,,0.582898375533508,0.5583546143746224,0.5840296422084935,,,No wild-cluster-bootstrap analogue exists for a rank statistic (Spearman rho); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-12B,Short,spearman_confidence_vs_abs_e,-0.061998956485304804,-0.08233254656969002,-0.025469850632866116,,-0.08233254656969002,-0.025469850632866116,-0.059173473068710285,,,No wild-cluster-bootstrap analogue exists for a rank statistic (Spearman rho); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
Gemma-3-27B,,headline,0.5944795027703507,0.5882634489749583,0.6042198854241604,,0.5928212207075191,0.6042198854241604,0.5882634489749583,,,No wild-cluster-bootstrap analogue exists for a rank statistic (AUC); the leave-one-campaign-out range is reported as the clustered companion directly.,Q5,G
