model,headline_auc_complete_case,auc_per_bin_quantile_label,delta_per_bin_quantile,n_prompt_cells_excluded_per_bin_quantile,base_rate_per_bin_quantile_0-20,base_rate_per_bin_quantile_20-40,base_rate_per_bin_quantile_40-60,base_rate_per_bin_quantile_60-80,base_rate_per_bin_quantile_80-100,auc_0_20_bin_only,delta_0_20_bin_only,n_prompt_cells_excluded_0_20_bin_only,base_rate_0_20_bin_only,n_images_0_20_bin,collapsed_toward_chance,question_id,row_type,prompt,robustness_label,auc,n_pos,n_neg,unstable_low_positives
Gemma-3-12B,0.2922134414068215,0.3138300728154397,0.021616631408618192,0.0,0.0988292948543425,0.08101851851851852,0.08152173913043478,0.06578947368421052,0.075,0.27184390628479516,-0.020369535122026328,0.0,0.07459842090933841,933.0,False,Q5,per_model_summary,,,,,,
Gemma-3-27B,0.5944795027703507,0.5965206032971295,0.0020411005267788607,0.0,0.09539121114683816,0.09953703703703703,0.09239130434782608,0.08552631578947369,0.08333333333333333,0.6324530543492631,0.03797355157891247,0.0,0.07502679528403002,933.0,False,Q5,per_model_summary,,,,,,
Llama-4-Maverick,0.6891778152791224,0.6818104584222267,-0.007367356856895713,0.0,0.09166443312784776,0.09490740740740741,0.09782608695652174,0.10526315789473684,0.09166666666666666,0.7479975698042013,0.05881975452507893,1.0,0.032699008308764405,933.0,False,Q5,per_model_summary,,,,,,
Llama-4-Scout,0.6133865594497774,0.6256439970725469,0.01225743762276954,0.0,0.09777061509535322,0.1,0.1,0.09219858156028368,0.08035714285714286,0.6611882466092586,0.04780168715948119,1.0,0.032500671501477306,933.0,False,Q5,per_model_summary,,,,,,
Mistral-Small-3.2,0.46697885379152915,0.5413178011562718,0.07433894736474267,0.0,0.10008049369466059,0.08564814814814815,0.09782608695652174,0.05921052631578947,0.08333333333333333,0.49493548934273307,0.027956635551203923,0.0,0.03219747786423397,933.0,True,Q5,per_model_summary,,,,,,
Qwen-2.5,0.615535531211866,0.6322193903505667,0.01668385913870074,0.0,0.09083601286173633,0.10185185185185185,0.03804347826086957,0.07236842105263158,0.09166666666666666,0.6505059117020717,0.03497038049020573,0.0,0.051982851018220796,933.0,False,Q5,per_model_summary,,,,,,
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,per_bin_quantile,0.3620555094873421,76.0,1079.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,per_bin_quantile,0.2349914301462538,131.0,1011.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,per_bin_quantile,0.19314788621719314,101.0,1008.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,per_bin_quantile,0.46512546541096966,124.0,1031.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,0_20_bin_only,0.32516703786191536,35.0,898.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,0_20_bin_only,0.1458522957119741,96.0,824.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,0_20_bin_only,0.13474726460163355,63.0,824.0,False
Gemma-3-12B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,0_20_bin_only,0.4816090269636577,80.0,853.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,per_bin_quantile,0.7426442297956787,93.0,1062.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,per_bin_quantile,0.5566564790167274,189.0,966.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,per_bin_quantile,0.4843996648022918,97.0,1058.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,per_bin_quantile,0.6023820395738204,60.0,1095.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,0_20_bin_only,0.8792449126480403,34.0,899.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,0_20_bin_only,0.5589287940029558,142.0,791.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,0_20_bin_only,0.4676317767393222,71.0,862.0,False
Gemma-3-27B,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,0_20_bin_only,0.624006734006734,33.0,900.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,per_bin_quantile,0.5557545367717287,108.0,1047.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,per_bin_quantile,0.7430091266051151,108.0,1047.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,per_bin_quantile,0.7131854917871867,118.0,1036.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,per_bin_quantile,0.7152926785248761,94.0,1061.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,0_20_bin_only,0.8689581095596133,2.0,931.0,True
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,0_20_bin_only,0.7741042105779128,46.0,887.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,0_20_bin_only,0.7264153587443947,40.0,892.0,False
Llama-4-Maverick,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,0_20_bin_only,0.7434731400902964,34.0,899.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,per_bin_quantile,0.5681209337925757,130.0,1005.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,per_bin_quantile,0.6297519007603041,84.0,1071.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,per_bin_quantile,0.6188659646106455,141.0,990.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,per_bin_quantile,0.6858371891266628,91.0,1064.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,0_20_bin_only,0.7362459546925566,3.0,927.0,True
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,0_20_bin_only,0.6420139993636653,35.0,898.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,0_20_bin_only,0.6117611502094038,53.0,874.0,False
Llama-4-Scout,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,0_20_bin_only,0.7297895902547065,30.0,903.0,False
Mistral-Small-3.2,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,per_bin_quantile,0.5296975751521207,154.0,1001.0,False
Mistral-Small-3.2,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Grid-Overlay,per_bin_quantile,0.5806297709923665,102.0,1048.0,False
Mistral-Small-3.2,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Point-Hint,per_bin_quantile,0.5016626899881639,101.0,1054.0,False
Mistral-Small-3.2,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Short,per_bin_quantile,0.5532811684924361,90.0,1065.0,False
Mistral-Small-3.2,,,,,,,,,,,,,,,,Q5,per_prompt_cell_detail,Detailed,0_20_bin_only,0.4908261653718091,32.0,901.0,False
