model,prompt,confidence_level,n_at_level,tpr,fpr,n_pos_total,n_neg_total,question_id
Gemma-3-12B,Detailed,0.75,4,0.009009009009009009,0.0028735632183908046,111,1044,Q5
Gemma-3-12B,Detailed,0.8,316,0.009009009009009009,0.3055555555555556,111,1044,Q5
Gemma-3-12B,Detailed,0.85,832,1.0,0.9971264367816092,111,1044,Q5
Gemma-3-12B,Detailed,0.95,1,1.0,0.9980842911877394,111,1044,Q5
Gemma-3-12B,Detailed,1.0,2,1.0,1.0,111,1044,Q5
Gemma-3-12B,Grid-Overlay,0.6,168,0.0,0.16884422110552763,147,995,Q5
Gemma-3-12B,Grid-Overlay,0.7,397,0.0,0.5678391959798995,147,995,Q5
Gemma-3-12B,Grid-Overlay,0.75,364,0.5782312925170068,0.8482412060301507,147,995,Q5
Gemma-3-12B,Grid-Overlay,0.8,179,0.9387755102040817,0.9748743718592965,147,995,Q5
Gemma-3-12B,Grid-Overlay,0.85,34,1.0,1.0,147,995,Q5
Gemma-3-12B,Point-Hint,0.6,350,0.01694915254237288,0.3511604439959637,118,991,Q5
Gemma-3-12B,Point-Hint,0.7,340,0.11016949152542373,0.6831483350151363,118,991,Q5
Gemma-3-12B,Point-Hint,0.75,400,0.9576271186440678,0.9858728557013118,118,991,Q5
Gemma-3-12B,Point-Hint,0.8,5,0.9661016949152542,0.9899091826437941,118,991,Q5
Gemma-3-12B,Point-Hint,0.85,13,1.0,0.9989909182643795,118,991,Q5
Gemma-3-12B,Point-Hint,0.95,1,1.0,1.0,118,991,Q5
Gemma-3-12B,Short,0.6,1,0.0,0.0009832841691248771,138,1017,Q5
Gemma-3-12B,Short,0.7,127,0.0,0.12586037364798427,138,1017,Q5
Gemma-3-12B,Short,0.75,364,0.391304347826087,0.4306784660766962,138,1017,Q5
Gemma-3-12B,Short,0.8,537,0.7463768115942029,0.9105211406096362,138,1017,Q5
Gemma-3-12B,Short,0.85,105,1.0,0.9793510324483776,138,1017,Q5
Gemma-3-12B,Short,0.95,4,1.0,0.983284169124877,138,1017,Q5
Gemma-3-12B,Short,1.0,17,1.0,1.0,138,1017,Q5
Gemma-3-27B,Detailed,0.85,343,0.8252427184466019,0.24524714828897337,103,1052,Q5
Gemma-3-27B,Detailed,0.9,718,1.0,0.9106463878326996,103,1052,Q5
Gemma-3-27B,Detailed,0.95,92,1.0,0.9980988593155894,103,1052,Q5
Gemma-3-27B,Detailed,1.0,2,1.0,1.0,103,1052,Q5
Gemma-3-27B,Grid-Overlay,0.8,363,0.33157894736842103,0.31088082901554404,190,965,Q5
Gemma-3-27B,Grid-Overlay,0.85,712,1.0,0.917098445595855,190,965,Q5
Gemma-3-27B,Grid-Overlay,0.9,53,1.0,0.9720207253886011,190,965,Q5
Gemma-3-27B,Grid-Overlay,0.95,25,1.0,0.9979274611398964,190,965,Q5
Gemma-3-27B,Grid-Overlay,1.0,2,1.0,1.0,190,965,Q5
Gemma-3-27B,Point-Hint,0.7,3,0.0,0.0028790786948176585,113,1042,Q5
Gemma-3-27B,Point-Hint,0.75,67,0.008849557522123894,0.06621880998080615,113,1042,Q5
Gemma-3-27B,Point-Hint,0.8,958,0.8230088495575221,0.8973128598848369,113,1042,Q5
Gemma-3-27B,Point-Hint,0.85,126,1.0,0.9990403071017274,113,1042,Q5
Gemma-3-27B,Point-Hint,0.95,1,1.0,1.0,113,1042,Q5
Gemma-3-27B,Short,0.8,33,0.013157894736842105,0.029657089898053754,76,1079,Q5
Gemma-3-27B,Short,0.85,880,1.0,0.7757182576459685,76,1079,Q5
Gemma-3-27B,Short,0.9,184,1.0,0.9462465245597775,76,1079,Q5
Gemma-3-27B,Short,0.95,46,1.0,0.9888785912882299,76,1079,Q5
Gemma-3-27B,Short,1.0,12,1.0,1.0,76,1079,Q5
Llama-4-Maverick,Detailed,0.5,1,0.007462686567164179,0.0,134,1021,Q5
Llama-4-Maverick,Detailed,0.6,1,0.007462686567164179,0.0009794319294809011,134,1021,Q5
Llama-4-Maverick,Detailed,0.7,10,0.03731343283582089,0.0068560235063663075,134,1021,Q5
Llama-4-Maverick,Detailed,0.8,350,0.44776119402985076,0.2957884427032321,134,1021,Q5
Llama-4-Maverick,Detailed,0.85,19,0.47761194029850745,0.31047992164544563,134,1021,Q5
Llama-4-Maverick,Detailed,0.9,207,0.5895522388059702,0.49853085210577863,134,1021,Q5
Llama-4-Maverick,Detailed,0.95,180,0.8731343283582089,0.6376101860920667,134,1021,Q5
Llama-4-Maverick,Detailed,1.0,387,1.0,1.0,134,1021,Q5
Llama-4-Maverick,Grid-Overlay,0.7,4,0.012658227848101266,0.0027881040892193307,79,1076,Q5
Llama-4-Maverick,Grid-Overlay,0.8,496,0.7974683544303798,0.40613382899628253,79,1076,Q5
Llama-4-Maverick,Grid-Overlay,0.85,2,0.7974683544303798,0.4079925650557621,79,1076,Q5
Llama-4-Maverick,Grid-Overlay,0.9,231,1.0,0.6078066914498141,79,1076,Q5
Llama-4-Maverick,Grid-Overlay,0.95,33,1.0,0.6384758364312267,79,1076,Q5
Llama-4-Maverick,Grid-Overlay,1.0,389,1.0,1.0,79,1076,Q5
Llama-4-Maverick,Point-Hint,0.5,1,0.0,0.0009191176470588235,66,1088,Q5
Llama-4-Maverick,Point-Hint,0.7,7,0.015151515151515152,0.006433823529411764,66,1088,Q5
Llama-4-Maverick,Point-Hint,0.75,2,0.015151515151515152,0.008272058823529412,66,1088,Q5
Llama-4-Maverick,Point-Hint,0.8,669,0.9393939393939394,0.5670955882352942,66,1088,Q5
Llama-4-Maverick,Point-Hint,0.85,3,0.9545454545454546,0.5689338235294118,66,1088,Q5
