question_id,config_a_model,config_a_prompt,config_b_model,config_b_prompt,balanced_mae_local_a,balanced_mae_local_b,balanced_mae_api_a,balanced_mae_api_b,local_gap_a_minus_b,local_gap_ci_lo,local_gap_ci_hi,local_gap_ci_method,separated_locally,counts_as_real_reversal,tier,corrected,claim_wording
Q7,Llama-4-Maverick,Short,Llama-4-Maverick,Point-Hint,11.209051674497458,11.375880070767348,15.38326429919806,13.168220689583753,-0.1668283962698922,-1.103356648811654,0.6383397034331831,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Qwen-2.5,Grid-Overlay,11.209051674497458,11.749014966389051,15.38326429919806,11.620306031711774,-0.5399632918915955,-1.8886574840338937,0.8236536580987557,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Llama-4-Maverick,Grid-Overlay,11.209051674497458,11.815106900443086,15.38326429919806,13.55448388045311,-0.6060552259456298,-1.7469360723719085,0.45116443348710894,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Qwen-2.5,Short,11.209051674497458,12.04652682703232,15.38326429919806,12.071854004740171,-0.8374751525348643,-2.175019882132615,0.5989854255174035,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Llama-4-Scout,Short,11.209051674497458,12.679774494486834,15.38326429919806,14.361607316441063,-1.4707228199893763,-3.183810183075285,-0.07415535057083869,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Qwen-2.5,Point-Hint,11.209051674497458,13.368864097971136,15.38326429919806,13.01305668718451,-2.1598124234736797,-3.4475740348253763,-0.7465533058738625,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Llama-4-Scout,Grid-Overlay,11.209051674497458,13.40693654893093,15.38326429919806,14.093844693361936,-2.19788487443347,-3.72848618443109,-0.801937000411926,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Gemma-3-12B,Short,11.209051674497458,13.944539776519292,15.38326429919806,14.484327839652877,-2.735488102021831,-4.160339320858357,-1.3137577139301213,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Short,Qwen-2.5,Detailed,11.209051674497458,14.36852888235937,15.38326429919806,15.299833535405066,-3.1594772078619116,-4.7003416159603875,-1.6497326398776666,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Point-Hint,Qwen-2.5,Grid-Overlay,11.375880070767348,11.749014966389051,13.168220689583753,11.620306031711774,-0.3731348956217033,-1.5637625859440896,0.8694653409710628,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Point-Hint,Qwen-2.5,Short,11.375880070767348,12.04652682703232,13.168220689583753,12.071854004740171,-0.670646756264972,-1.9990413462112788,0.6285787435334597,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Point-Hint,Qwen-2.5,Point-Hint,11.375880070767348,13.368864097971136,13.168220689583753,13.01305668718451,-1.9929840272037875,-3.263774778991108,-0.7058944661201166,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Grid-Overlay,Qwen-2.5,Short,11.815106900443086,12.04652682703232,13.55448388045311,12.071854004740171,-0.2314199265892345,-1.5890384004272817,1.158534614161067,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Maverick,Grid-Overlay,Qwen-2.5,Point-Hint,11.815106900443086,13.368864097971136,13.55448388045311,13.01305668718451,-1.55375719752805,-2.8396133338639276,-0.2724918396027099,BCa,True,True,secondary,False,stack and possibly weights
Q7,Llama-4-Scout,Short,Qwen-2.5,Point-Hint,12.679774494486834,13.368864097971136,14.361607316441063,13.01305668718451,-0.6890896034843035,-2.3803683602316683,1.0969126885947993,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Scout,Short,Llama-4-Scout,Grid-Overlay,12.679774494486834,13.40693654893093,14.361607316441063,14.093844693361936,-0.7271620544440935,-2.0915344365924002,0.5340133871068979,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Grid-Overlay,Gemma-3-12B,Short,13.64709670474554,13.944539776519292,15.715592653363998,14.484327839652877,-0.2974430717737473,-2.1752456233314605,1.4098206313882955,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Grid-Overlay,Llama-4-Scout,Point-Hint,13.64709670474554,13.957161799095186,15.715592653363998,15.517145603379651,-0.3100650943496497,-2.137793016503407,1.4565317458508822,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Grid-Overlay,Gemma-3-12B,Point-Hint,13.64709670474554,14.264157003877107,15.715592653363998,15.433707409941821,-0.6170602991315626,-2.3347100871093773,0.9578221913944988,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Grid-Overlay,Qwen-2.5,Detailed,13.64709670474554,14.36852888235937,15.715592653363998,15.299833535405066,-0.7214321776138277,-2.284797645174669,0.7910011838478567,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Grid-Overlay,Gemma-3-27B,Grid-Overlay,13.64709670474554,14.380937610114106,15.715592653363998,15.554414707333908,-0.7338409053685595,-2.1916150395021696,0.6441917142465826,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Scout,Point-Hint,Gemma-3-12B,Point-Hint,13.957161799095186,14.264157003877107,15.517145603379651,15.433707409941821,-0.3069952047819129,-1.881743619093738,1.3366780059798942,BCa,False,False,secondary,False,stack and possibly weights
Q7,Llama-4-Scout,Point-Hint,Qwen-2.5,Detailed,13.957161799095186,14.36852888235937,15.517145603379651,15.299833535405066,-0.41136708326417804,-2.1512216885004123,1.270412265677077,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Point-Hint,Gemma-3-12B,Point-Hint,14.048447263365555,14.264157003877107,18.68933902240884,15.433707409941821,-0.21570974051155112,-1.9797583628255377,1.390334128868823,BCa,False,False,secondary,False,stack and possibly weights
Q7,Mistral-Small-3.2,Point-Hint,Qwen-2.5,Detailed,14.048447263365555,14.36852888235937,18.68933902240884,15.299833535405066,-0.32008161899381626,-1.8903053962694794,1.2989456377481965,BCa,False,False,secondary,False,stack and possibly weights
