question_id,model,contrast,row_type,p_clustered_webb,n_distinct_abs_t_star,webb_below_resolution_floor,clustered_estimate,clustered_ci_lo,clustered_ci_hi,clustered_df,ci_width_ratio_clustered_to_headline,loco_min,loco_max,loco_note,webb_resolution_floor,loco_dropped_campaign,loco_refit_balanced_mae,loco_refit_per_bin_n
Q9,Gemma-3-12B,Gemma-3-12B_vs_classical_baseline,summary,0.0272,100.0,False,-26.126430666028003,-30.167422422654596,-22.085438909401404,2.0,2.345234266588716,-26.832892585138012,-25.77532602419484,,0.009259259259259259,,,
Q9,Gemma-3-12B,Gemma-3-12B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_1,-26.06653720438738,"{'0-20': 584, '20-40': 77, '40-60': 29, '60-80': 21, '80-100': 24}"
Q9,Gemma-3-12B,Gemma-3-12B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_2,-26.832892585138012,"{'0-20': 466, '20-40': 48, '40-60': 24, '60-80': 25, '80-100': 11}"
Q9,Gemma-3-12B,Gemma-3-12B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_3,-25.77532602419484,"{'0-20': 816, '20-40': 91, '40-60': 39, '60-80': 30, '80-100': 25}"
Q9,Gemma-3-27B,Gemma-3-27B_vs_classical_baseline,summary,0.0267,100.0,False,-26.016348195416974,-29.583872560257294,-22.44882383057664,2.0,2.031882663724939,-27.30650075915284,-25.066789253354003,,0.009259259259259259,,,
Q9,Gemma-3-27B,Gemma-3-27B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_1,-25.066789253354003,"{'0-20': 584, '20-40': 77, '40-60': 29, '60-80': 21, '80-100': 24}"
Q9,Gemma-3-27B,Gemma-3-27B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_2,-27.30650075915284,"{'0-20': 466, '20-40': 48, '40-60': 24, '60-80': 25, '80-100': 11}"
Q9,Gemma-3-27B,Gemma-3-27B_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_3,-26.1172685742918,"{'0-20': 816, '20-40': 91, '40-60': 39, '60-80': 30, '80-100': 25}"
Q9,Llama-4-Maverick,Llama-4-Maverick_vs_classical_baseline,summary,0.0376,100.0,False,-26.09400125691954,-29.891319807306548,-22.296682706532533,2.0,2.6385649773821034,-26.77961740305972,-25.745817432296544,,0.009259259259259259,,,
Q9,Llama-4-Maverick,Llama-4-Maverick_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_1,-26.069619015309886,"{'0-20': 584, '20-40': 77, '40-60': 29, '60-80': 21, '80-100': 24}"
Q9,Llama-4-Maverick,Llama-4-Maverick_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_2,-26.77961740305972,"{'0-20': 466, '20-40': 48, '40-60': 24, '60-80': 25, '80-100': 11}"
Q9,Llama-4-Maverick,Llama-4-Maverick_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_3,-25.745817432296544,"{'0-20': 816, '20-40': 91, '40-60': 39, '60-80': 30, '80-100': 25}"
Q9,Llama-4-Scout,Llama-4-Scout_vs_classical_baseline,summary,0.0352,100.0,False,-24.18553150111703,-29.867426256583997,-18.503636745650056,2.0,3.3841524456827496,-26.023860737693614,-23.536327936498225,,0.009259259259259259,,,
Q9,Llama-4-Scout,Llama-4-Scout_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_1,-23.8624425237767,"{'0-20': 584, '20-40': 77, '40-60': 29, '60-80': 21, '80-100': 24}"
Q9,Llama-4-Scout,Llama-4-Scout_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_2,-26.023860737693614,"{'0-20': 466, '20-40': 48, '40-60': 24, '60-80': 25, '80-100': 11}"
Q9,Llama-4-Scout,Llama-4-Scout_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_3,-23.536327936498225,"{'0-20': 816, '20-40': 91, '40-60': 39, '60-80': 30, '80-100': 25}"
Q9,Mistral-Small-3.2,Mistral-Small-3.2_vs_classical_baseline,summary,0.0265,100.0,False,-26.65820135807804,-31.31029576399672,-22.00610695215935,2.0,2.417478708886075,-27.89487860412618,-26.134376619432935,,0.009259259259259259,,,
Q9,Mistral-Small-3.2,Mistral-Small-3.2_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_1,-26.295656852944617,"{'0-20': 584, '20-40': 77, '40-60': 29, '60-80': 21, '80-100': 24}"
Q9,Mistral-Small-3.2,Mistral-Small-3.2_vs_classical_baseline,loco_refit,,,,,,,,,,,,,campaign_2,-27.89487860412618,"{'0-20': 466, '20-40': 48, '40-60': 24, '60-80': 25, '80-100': 11}"
