question_id,model,prompt,n_pairs,delta_balanced_mae,delta_balanced_mae_ci_lo,delta_balanced_mae_ci_hi,delta_overall_mae,delta_overall_mae_ci_lo,delta_overall_mae_ci_hi,bias_model,bias_baseline,delta_abs_bias,bias_direction_opposed,selection_conditioned,holm_family,p_value
Q9,Gemma-3-12B,Detailed,1155,-21.841196266905946,-23.716888024001015,-20.04259348596705,-1.2638110885059461,-2.143203544355797,-0.4272551679932372,3.0804761904761904,-10.004567508956246,-6.924091318480055,True,False,,
Q9,Gemma-3-12B,Grid-Overlay,1155,-26.46585538429259,-28.240925455845385,-24.693822253720047,-0.14865957335443092,-1.230740723323696,0.8399016152745418,6.884805194805194,-10.004567508956246,-3.1197623141510515,True,False,,
Q9,Gemma-3-12B,Point-Hint,1155,-27.939526892777828,-29.89955771974374,-25.772202843690483,-2.1724690971639546,-3.2238712437784516,-1.1936585997804492,4.915541125541125,-10.004567508956246,-5.089026383415121,True,False,,
Q9,Gemma-3-12B,Short,1155,-28.259144120135645,-30.32040670666967,-26.08042031846146,-1.4862353309301888,-2.6128651180988585,-0.491879356073921,6.502121212121212,-10.004567508956246,-3.502446296835034,True,False,,
Q9,Gemma-3-27B,Detailed,1155,-20.954584125542393,-22.979635040640982,-19.127690655729396,-0.038269962964820436,-0.9319513783195441,0.7986035868873818,4.304718614718615,-10.004567508956246,-5.699848894237631,True,False,,
Q9,Gemma-3-27B,Grid-Overlay,1155,-27.82274628654083,-29.670203406527328,-25.80258437293612,1.4188728941780369,0.29132235122881023,2.5225154367105533,9.337619047619048,-10.004567508956246,-0.6669484613371974,True,False,,
Q9,Gemma-3-27B,Point-Hint,1155,-27.746976663031944,-29.573575793914248,-25.755470434454125,-1.2291790538739118,-2.2653252507731745,-0.2524076481425373,5.952337662337662,-10.004567508956246,-4.052229846618584,True,False,,
Q9,Gemma-3-27B,Short,1155,-27.541085706552717,-29.53447765232597,-25.428707221330324,-2.9205210452159047,-3.883828907440178,-2.005006758219275,3.429393939393939,-10.004567508956246,-6.575173569562306,True,False,,
Q9,Llama-4-Maverick,Detailed,1155,-12.164991983421238,-14.373254694641462,-10.109041304424439,-2.659222343917202,-3.2228729747543774,-2.1426748244176466,-5.524112554112555,-10.004567508956246,-4.480454954843691,False,False,,
Q9,Llama-4-Maverick,Grid-Overlay,1155,-30.388576996211853,-32.18868816339319,-28.43486713786832,-4.848486413181272,-5.887516718002059,-3.926115908097664,2.156233766233766,-10.004567508956246,-7.848333742722479,True,False,,
Q9,Llama-4-Maverick,Point-Hint,1155,-30.82780382588759,-32.66007212398876,-28.817323129339254,-4.463031867726725,-5.539802369665765,-3.4874467011860637,3.1328571428571426,-10.004567508956246,-6.871710366099103,True,False,,
Q9,Llama-4-Maverick,Short,1155,-30.994632222157477,-32.75132211238332,-29.068983199263904,-4.80718771188257,-5.885928547345759,-3.845846922997326,3.0917316017316017,-10.004567508956246,-6.912835907224644,True,False,,
Q9,Llama-4-Scout,Detailed,1155,-10.174947157016256,-12.725037330982094,-8.050319306171883,-1.6846768893717492,-2.26570052667256,-1.1880418824406955,-5.048528138528138,-10.004567508956246,-4.956039370428107,False,False,,
Q9,Llama-4-Scout,Grid-Overlay,1155,-28.796747347724008,-30.8885033814322,-26.296162313940815,-4.2290924737873326,-5.253479532654845,-3.270792708438015,2.5458441558441556,-10.004567508956246,-7.45872335311209,True,False,,
Q9,Llama-4-Scout,Point-Hint,1155,-28.24652209755975,-30.348567238430633,-25.872508906110692,-3.1539582746531325,-4.224252575193753,-2.20550310693506,4.3807186147186155,-10.004567508956246,-5.62384889423763,True,False,,
Q9,Llama-4-Scout,Short,1155,-29.5239094021681,-31.718168712333107,-26.9523166873751,-4.6176639023587605,-5.647411149069113,-3.69220976208925,2.6778787878787877,-10.004567508956246,-7.326688721077458,True,False,,
Q9,Mistral-Small-3.2,Detailed,1155,-23.643068775584943,-25.349987087356602,-21.828272543386852,-1.5019063266011834,-2.442122176897732,-0.6069502274059759,3.21034632034632,-10.004567508956246,-6.794221188609926,True,False,,
Q9,Mistral-Small-3.2,Grid-Overlay,1155,-28.556587191909397,-30.536685895743414,-26.459949628918956,-3.6000015646964227,-4.6069062831970475,-2.6705382241314606,2.7350216450216447,-10.004567508956246,-7.269545863934601,True,False,,
Q9,Mistral-Small-3.2,Point-Hint,1155,-28.155236633289384,-30.162741668132494,-25.909187958840775,-4.363118447813306,-5.335037966739131,-3.466609562493922,1.0016883116883115,-10.004567508956246,-9.002879197267934,True,False,,
Q9,Mistral-Small-3.2,Short,1155,-26.277912831528432,-28.347496936528653,-24.0949103875389,-3.8562786209734785,-4.794581424862497,-3.010825746313583,1.2527705627705625,-10.004567508956246,-8.751796946185683,True,False,,
