question_id,series,bin,n,mae,mae_ci_lo,mae_ci_hi,ratio_baseline_to_ensemble,selected_model,selected_prompt,ensemble_members,topset_size,prob_best,selection_conditioned
Q9,classical_baseline,0-20,933,3.4105974049992147,3.1409296203643278,3.7082359115181247,,,,,,,
Q9,classical_baseline,20-40,108,25.79104004048201,24.403985924604246,27.116273201593206,3.695432602815332,,,,,,
Q9,classical_baseline,40-60,46,45.71931338862404,42.45897813091949,48.38615548628254,4.014165896376725,,,,,,
Q9,classical_baseline,60-80,38,57.88995357953208,52.87213138270516,62.37210825916867,3.102705551512298,,,,,,
Q9,classical_baseline,80-100,30,78.2075150696373,70.61600293819797,83.30792618660794,3.257138526731771,,,,,,
Q9,leading_single_configuration,0-20,933,4.586655948553055,4.120953628765014,5.143997823679668,,Llama-4-Maverick,Short,,6,0.5148,True
Q9,leading_single_configuration,20-40,108,11.935185185185185,10.131578947368421,14.242110421914624,,Llama-4-Maverick,Short,,6,0.5148,True
Q9,leading_single_configuration,40-60,46,13.630434782608695,11.211923005116226,16.380752940058425,,Llama-4-Maverick,Short,,6,0.5148,True
Q9,leading_single_configuration,60-80,38,11.526315789473685,9.294117647058824,14.447368421052632,,Llama-4-Maverick,Short,,6,0.5148,True
Q9,leading_single_configuration,80-100,30,14.366666666666667,11.394855631856746,18.368680997920773,,Llama-4-Maverick,Short,,6,0.5148,True
Q9,three_model_ensemble,0-20,933,6.028260092890318,5.669175630884655,6.424045577253359,,,,"Qwen-2.5, Mistral-Small-3.2, Gemma-3-12B",,,
Q9,three_model_ensemble,20-40,108,6.979166666666668,5.957570938178186,8.24956418359037,,,,"Qwen-2.5, Mistral-Small-3.2, Gemma-3-12B",,,
Q9,three_model_ensemble,40-60,46,11.389492753623188,9.555555555555555,13.278944695747212,,,,"Qwen-2.5, Mistral-Small-3.2, Gemma-3-12B",,,
Q9,three_model_ensemble,60-80,38,18.657894736842106,15.107961502548703,22.611431147339196,,,,"Qwen-2.5, Mistral-Small-3.2, Gemma-3-12B",,,
Q9,three_model_ensemble,80-100,30,24.01111111111111,20.7991929640669,27.360594097980723,,,,"Qwen-2.5, Mistral-Small-3.2, Gemma-3-12B",,,
